City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
163,Bad Mergentheim,DE,49.4925,9.7736,55.0,87,3,clear sky
164,Fredericton,CA,45.9454,-66.6656,72.43,83,0,clear sky
165,Pevek,RU,69.7008,170.3133,40.75,73,69,broken clouds
166,Sao Filipe,CV,14.8961,-24.4956,77.83,82,19,few clouds
167,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,44,0,clear sky
168,Sheltozero,RU,61.3667,35.3667,44.74,81,11,few clouds
169,Maceio,BR,-9.6658,-35.7353,85.44,54,40,scattered clouds
170,San Juan,AR,-31.5375,-68.5364,64.4,16,0,clear sky
171,Seoul,KR,37.5683,126.9778,72.97,83,0,clear sky
172,Bani,DO,18.2833,-70.3333,81.86,77,90,overcast clouds
173,Port Blair,IN,11.6667,92.75,80.67,79,100,overcast clouds
174,Kyren,RU,51.6828,102.1408,56.23,77,76,broken clouds
175,Mossendjo,CG,-2.9506,12.7261,69.53,86,85,overcast clouds
176,Bulgan,MN,48.8125,103.5347,52.0,83,24,few clouds
177,Petatlan,MX,17.5167,-101.2667,85.8,93,100,overcast clouds
178,Kozhva,RU,65.1073,57.0459,42.6,97,99,overcast clouds
179,Mecca,SA,21.4267,39.8261,87.17,53,7,clear sky
180,Okhotsk,RU,59.3833,143.3,50.18,47,17,few clouds
181,Lebu,CL,-37.6167,-73.65,48.94,88,66,broken clouds
182,Marovoay,MG,-16.1,46.6333,68.18,69,0,clear sky
183,Mount Gambier,AU,-37.8333,140.7667,49.71,75,95,overcast clouds
184,Gobabis,NA,-22.45,18.9667,64.92,14,0,clear sky
185,Half Moon Bay,US,37.4636,-122.4286,87.91,71,0,clear sky
186,Luancheng,CN,37.8792,114.6517,73.56,62,10,clear sky
187,Ordu,TR,40.9086,37.6845,54.1,61,0,clear sky
188,Palmer,US,42.1584,-72.3287,69.49,82,100,overcast clouds
189,Creel,MX,27.75,-107.6333,64.33,61,53,broken clouds
190,Udachnyy,RU,66.4167,112.4,35.46,86,100,light rain
191,Coffs Harbour,AU,-30.3,153.1333,68.13,45,75,broken clouds
192,Del Rio,US,29.3627,-100.8968,84.22,100,75,broken clouds
193,Acapulco,MX,16.8634,-99.8901,82.22,78,100,overcast clouds
194,Cidreira,BR,-30.1811,-50.2056,55.92,72,40,scattered clouds
195,Mehamn,NO,71.0357,27.8492,42.75,93,100,light rain
196,Omsukchan,RU,62.5333,155.8,41.76,72,75,broken clouds
197,Bousso,TD,10.4795,16.7117,73.35,89,98,light rain
198,Fukue,JP,32.6881,128.8419,80.96,83,75,broken clouds
199,Champerico,GT,14.3,-91.9167,80.55,77,72,broken clouds
200,Cape Coast,GH,5.1053,-1.2466,73.76,92,46,scattered clouds
201,Aklavik,CA,68.2191,-135.0107,44.15,85,100,overcast clouds
202,Camapua,BR,-19.5314,-54.0439,83.23,34,51,broken clouds
203,Uthal,PK,25.8072,66.6219,84.47,69,55,broken clouds
204,Sinop,TR,41.7711,34.8709,64.02,58,6,clear sky
205,Nanortalik,GL,60.1432,-45.2371,43.05,94,68,broken clouds
206,Svilajnac,RS,44.2337,21.1967,58.51,90,47,scattered clouds
207,Upernavik,GL,72.7868,-56.1549,40.26,94,100,overcast clouds
208,Chongoyape,PE,-6.6406,-79.3892,70.88,66,76,broken clouds
209,Port Elizabeth,ZA,-33.918,25.5701,54.32,96,20,heavy intensity rain
210,Vostok,RU,46.4856,135.8833,67.32,58,95,overcast clouds
211,Apricena,IT,41.7839,15.4437,67.82,69,41,scattered clouds
212,Basoko,CD,1.2391,23.616,70.38,96,81,broken clouds
213,Portland,US,45.5234,-122.6762,80.58,39,100,overcast clouds
214,Simao,CN,22.7886,100.9748,63.72,99,100,overcast clouds
215,Ishikari,JP,43.2397,141.3539,73.47,78,75,broken clouds
216,Asau,RO,46.4333,26.4,54.52,89,28,scattered clouds
217,Vanimo,PG,-2.6741,141.3028,83.57,67,97,overcast clouds
218,Nykoping,SE,58.753,17.0079,49.86,93,0,clear sky
219,Faya,SA,18.3851,42.4509,68.11,29,41,scattered clouds
220,Haapiti,PF,-17.5667,-149.8667,83.93,66,1,clear sky
221,Teluk Nibung,ID,3.001,99.8164,75.54,88,91,overcast clouds
222,Boca Del Rio,MX,19.1,-96.1,84.29,63,75,broken clouds
223,Moose Factory,CA,51.2585,-80.6094,62.6,77,20,haze
224,Maarianhamina,AX,60.0973,19.9348,37.26,100,0,clear sky
225,Newport,GB,51.5877,-2.9984,64.94,85,100,overcast clouds
226,Airai,TL,-8.9266,125.4092,70.36,40,77,broken clouds
227,Bandrele,YT,-12.9067,45.1914,73.15,83,0,clear sky
228,Chapleau,CA,47.8405,-83.4034,55.49,88,75,broken clouds
229,Sakaiminato,JP,35.55,133.2333,78.78,89,75,broken clouds
230,Bethel,US,41.3712,-73.414,68.31,87,100,overcast clouds
231,Dingle,PH,10.9995,122.6711,81.01,83,62,broken clouds
232,Christchurch,NZ,-43.5333,172.6333,57.94,85,75,broken clouds
233,Fredericksburg,US,38.3032,-77.4605,76.95,83,40,scattered clouds
234,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.09,73,99,overcast clouds
235,Raton,US,36.9034,-104.4391,71.94,57,0,clear sky
236,Honiara,SB,-9.4333,159.95,86.86,59,10,clear sky
237,Kahului,US,20.8947,-156.47,87.82,66,40,scattered clouds
238,Pudem,RU,58.3044,52.1675,39.7,95,74,broken clouds
239,Nantucket,US,41.2835,-70.0995,75.31,64,75,broken clouds
240,Saucillo,MX,28.0167,-105.2833,84.96,27,33,scattered clouds
241,Rosarito,MX,32.3333,-117.0333,83.91,77,15,few clouds
242,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,93,75,mist
