City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
378,Tecoanapa,MX,77.59,overcast clouds,16.5167,-98.75,Hotel Manglares
379,Karratha,AU,74.75,clear sky,-20.7377,116.8463,ibis Styles Karratha
380,Iracoubo,GF,79.21,clear sky,5.4802,-53.2011,Le Gîte d’Iracoubo
384,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
385,Odweyne,SO,71.56,clear sky,9.4092,45.064,Eng Hiirey House
386,Cururupu,BR,76.77,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
392,Billings,US,83.97,smoke,45.7833,-108.5007,Best Western Plus Clocktower Inn
393,Athabasca,CA,72.01,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
395,Iralaya,HN,81.43,few clouds,15.0,-83.2333,Iglesia morava renovada
397,Grand Gaube,MU,68.4,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
400,Breves,BR,78.87,overcast clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
402,San Ignacio,BZ,76.75,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
403,San Francisco,US,87.12,broken clouds,37.7749,-122.4194,Edwardian Hotel
404,Kos,GR,74.64,clear sky,36.8933,27.2889,Americana Hotel
405,Najran,SA,75.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
406,Sertanopolis,BR,68.07,scattered clouds,-23.0586,-51.0364,HOTEL SERTANÓPOLIS
408,Parasia,IN,70.34,light rain,22.2,78.7667,Hotel Navrang
412,Guerrero Negro,MX,77.88,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
413,Naples,IT,77.76,clear sky,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
414,Lazaro Cardenas,MX,79.47,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
415,Morehead,US,72.0,overcast clouds,37.2711,-87.1764,CCI Express Inn
416,Hirara,JP,77.27,heavy intensity shower rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
419,Benemerito De Las Americas,MX,74.71,overcast clouds,16.5167,-90.6439,Residencia Univeresitaria
420,Terrace,CA,75.11,clear sky,54.5163,-128.6035,Northern Motor Inn
422,Velingara,SN,73.38,moderate rain,13.15,-14.1167,Hotel Najla
424,Salinopolis,BR,79.61,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
425,Yima,CN,72.57,clear sky,34.7381,111.8839,Yima Hotel
426,Bereda,ES,65.57,overcast clouds,43.2686,-7.5406,Pazo de Verdes
427,Meulaboh,ID,77.61,overcast clouds,4.1363,96.1285,Kost Pria
428,Kutum,SD,77.16,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
432,Pocao De Pedras,BR,81.34,broken clouds,-4.6667,-44.85,Hotel Magazine
434,Safaga,EG,86.02,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
436,Bose,IT,65.21,few clouds,45.4612,8.0137,Locanda Borgo Antico
438,Mattru,SL,72.18,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
439,Roma,US,66.69,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
444,Mazagao,BR,82.45,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
447,Zinder,NE,82.26,broken clouds,13.8072,8.9881,Hotel de Ville
449,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
451,Ilheus,BR,71.42,few clouds,-14.7889,-39.0494,Barravento Hotel
454,Puerto Baquerizo Moreno,EC,67.39,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
458,Arraial Do Cabo,BR,67.23,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
459,Makokou,GA,69.03,light rain,0.5738,12.8642,Hôtel
460,Zhengjiatun,CN,71.78,few clouds,43.5064,123.5064,Siping Hexiang Hotel
461,Saint-Leu,RE,71.96,clear sky,-21.15,55.2833,La Caz Oceane
462,Columbia,US,80.47,broken clouds,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
464,Bandarbeyla,SO,78.69,overcast clouds,9.4942,50.8122,JABIR HOTEL
465,Ranong,TH,75.13,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
466,Ambon,ID,78.94,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
468,Katobu,ID,83.43,overcast clouds,-4.9408,122.5276,La Ode Husein
473,Khash,IR,68.61,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
474,Dhemaji,IN,73.47,broken clouds,27.4833,94.5833,SPOT ON 48710 Hotel Shikha
475,Saint Anthony,US,69.73,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
478,Biak,ID,78.17,overcast clouds,-0.9131,122.8766,Penginapan Kim
479,Wewak,PG,81.05,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
480,Jose Bonifacio,BR,78.06,broken clouds,-21.0528,-49.6883,HOTEL DOS VIAJANTES
481,Gafanha Da Encarnacao,PT,72.77,overcast clouds,40.6181,-8.733,Hotel Barra
484,Toyo,PH,87.73,broken clouds,10.7333,125.0167,Florina Country Lodge
485,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
486,Bikaner,IN,87.24,broken clouds,28.0167,73.3,The Laxmi Niwas Palace
489,Fujin,CN,68.88,overcast clouds,47.26,132.0322,Xilong Hotel Fujin Shop
491,Banda Aceh,ID,80.98,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
