City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Haines Junction,CA,2022-09-10 03:25:38,60.7522,-137.5108,48.15,57,36,5.75
180,Kalemie,CD,2022-09-10 03:25:38,-5.9475,29.1947,71.42,57,92,5.44
181,Oktyabrskiy,RU,2022-09-10 03:25:39,54.4815,53.471,41.76,81,98,9.78
182,Batamshinskiy,KZ,2022-09-10 03:26:39,50.5594,58.2747,46.6,85,100,14.05
183,Port Hedland,AU,2022-09-10 03:26:40,-20.3167,118.5667,82.45,28,0,14.97
184,Ducheng,CN,2022-09-10 03:26:40,23.2373,111.5317,89.1,63,33,2.39
185,Belyy Yar,RU,2022-09-10 03:26:40,53.6039,91.3903,54.86,56,0,4.47
186,Liverpool,GB,2022-09-10 03:26:41,53.4106,-2.9779,60.82,84,40,10.36
187,Tuktoyaktuk,CA,2022-09-10 03:26:41,69.4541,-133.0374,46.4,81,100,19.57
188,Puerto Del Rosario,ES,2022-09-10 03:26:42,28.5004,-13.8627,73.15,83,100,13.8
189,Yar-Sale,RU,2022-09-10 03:26:42,66.8333,70.8333,40.1,90,100,6.22
190,Sitka,US,2022-09-10 03:26:42,57.0531,-135.33,55.29,88,100,3.44
191,Tubuala,PA,2022-09-10 03:26:43,9.5167,-79.0333,79.02,87,44,9.66
192,Jijiga,ET,2022-09-10 03:26:43,9.35,42.8,61.61,81,100,16.31
193,Jonuta,MX,2022-09-10 03:26:44,18.0833,-92.1333,76.3,92,100,3.56
194,Pleshanovo,RU,2022-09-10 03:26:44,52.8333,53.4833,46.04,89,78,12.95
195,Asosa,ET,2022-09-10 03:26:45,10.0667,34.5333,60.21,93,100,2.55
196,Santa Maria Del Oro,MX,2022-09-10 03:26:45,25.9333,-105.3667,67.14,76,97,3.02
197,Castro,BR,2022-09-10 03:26:45,-24.7911,-50.0119,67.8,68,94,4.23
198,Lebu,CL,2022-09-10 03:26:46,-37.6167,-73.65,45.46,87,1,16.17
199,Ibra,OM,2022-09-10 03:26:46,22.6906,58.5334,78.91,61,13,2.46
200,Merauke,ID,2022-09-10 03:26:47,-8.4667,140.3333,85.08,69,81,15.55
201,Sao Joao Da Barra,BR,2022-09-10 03:26:47,-21.6403,-41.0511,70.11,83,0,21.41
202,Yulara,AU,2022-09-10 03:26:47,-25.2406,130.9889,65.64,42,100,17.81
203,Tilichiki,RU,2022-09-10 03:26:48,60.4667,166.1,49.32,95,100,8.03
204,Kieta,PG,2022-09-10 03:26:48,-6.2167,155.6333,82.33,79,46,7.2
205,Nouakchott,MR,2022-09-10 03:23:35,18.0858,-15.9785,82.33,82,12,11.7
206,Grindavik,IS,2022-09-10 03:26:48,63.8424,-22.4338,57.15,100,100,6.91
207,Ambovombe,MG,2022-09-10 03:26:49,-25.1667,46.0833,63.1,76,0,4.45
208,Sergeyevka,KZ,2022-09-10 03:26:49,53.88,67.4158,51.15,52,97,3.13
209,Avera,US,2022-09-10 03:26:50,33.194,-82.5271,69.85,96,100,10.96
210,Guerrero Negro,MX,2022-09-10 03:26:50,27.9769,-114.0611,78.01,73,10,10.47
211,Sao Jose Da Coroa Grande,BR,2022-09-10 03:26:51,-8.8978,-35.1478,72.43,87,47,3.49
212,Palmer,US,2022-09-10 03:26:51,42.1584,-72.3287,65.17,84,0,0.0
213,Nuuk,GL,2022-09-10 03:26:51,64.1835,-51.7216,45.21,87,26,1.14
214,Hofn,IS,2022-09-10 03:26:52,64.2539,-15.2082,52.65,97,100,9.08
215,Pacific Grove,US,2022-09-10 03:22:59,36.6177,-121.9166,64.24,88,40,1.99
216,Kaitangata,NZ,2022-09-10 03:26:52,-46.2817,169.8464,52.25,68,2,4.97
217,Beni,CD,2022-09-10 03:26:53,0.5,29.4667,60.67,99,70,1.59
218,Makakilo City,US,2022-09-10 03:26:53,21.3469,-158.0858,80.92,73,100,9.22
219,Mehamn,NO,2022-09-10 03:26:54,71.0357,27.8492,48.15,93,100,11.5
220,Cayenne,GF,2022-09-10 03:26:54,4.9333,-52.3333,73.44,94,0,0.0
221,Douentza,ML,2022-09-10 03:26:54,14.9951,-2.9517,82.9,61,100,3.96
222,Qaanaaq,GL,2022-09-10 03:26:55,77.484,-69.3632,30.16,57,16,7.52
223,Sisimiut,GL,2022-09-10 03:26:55,66.9395,-53.6735,43.99,88,100,9.44
224,Lorengau,PG,2022-09-10 03:26:56,-2.0226,147.2712,85.62,67,99,9.06
225,Pushkinskiye Gory,RU,2022-09-10 03:26:56,57.0209,28.9103,37.56,81,5,4.61
226,El Colomo,MX,2022-09-10 03:26:56,19.05,-104.25,80.17,88,100,6.4
227,Carnarvon,AU,2022-09-10 03:27:57,-24.8667,113.6333,68.65,53,0,13.65
228,Hokitika,NZ,2022-09-10 03:27:57,-42.7167,170.9667,55.58,62,0,7.09
229,Mnogovershinnyy,RU,2022-09-10 03:27:58,53.9353,139.9242,64.87,54,90,4.74
230,Santa Cruz,BO,2022-09-10 03:23:05,-17.8,-63.1667,76.46,29,75,13.8
231,Port Lincoln,AU,2022-09-10 03:27:58,-34.7333,135.8667,58.77,55,98,5.17
232,Finschhafen,PG,2022-09-10 03:23:14,-6.6024,147.8681,85.77,65,50,11.36
233,Sinnamary,GF,2022-09-10 03:27:59,5.3833,-52.95,78.39,86,100,10.42
234,Chistogorskiy,RU,2022-09-10 03:27:59,53.9835,87.3843,54.18,53,14,4.47
235,Port Blair,IN,2022-09-10 03:27:59,11.6667,92.75,84.24,74,75,12.66
236,Bathsheba,BB,2022-09-10 03:28:00,13.2167,-59.5167,83.01,78,75,11.5
237,Kashi,CN,2022-09-10 03:28:00,39.4547,75.9797,81.61,14,0,8.95
238,Callaway,US,2022-09-10 03:28:01,30.153,-85.5699,75.25,94,0,4.61
239,Ozinki,RU,2022-09-10 03:28:01,51.1786,49.6769,44.22,82,16,15.03
240,Yarada,IN,2022-09-10 03:28:02,17.65,83.2667,80.92,89,75,6.91
241,Alihe,CN,2022-09-10 03:28:02,50.5667,123.7167,82.72,35,11,8.23
242,Swan Hill,AU,2022-09-10 03:28:03,-35.3378,143.5544,58.66,53,98,15.3
243,Duvan,RU,2022-09-10 03:28:03,55.695,57.9024,42.87,95,100,6.22
244,Koutiala,ML,2022-09-10 03:28:03,12.3917,-5.4642,73.04,90,100,5.59
245,Dikson,RU,2022-09-10 03:28:04,73.5069,80.5464,36.84,76,91,3.58
246,Anjozorobe,MG,2022-09-10 03:28:04,-18.4,47.8667,46.65,96,30,3.56
247,Balad,IQ,2022-09-10 03:28:05,34.0164,44.1453,88.86,19,0,7.11
248,Luganville,VU,2022-09-10 03:28:05,-15.5333,167.1667,82.92,69,88,10.29
249,Okhotsk,RU,2022-09-10 03:28:06,59.3833,143.3,60.85,51,1,20.42
250,Ucluelet,CA,2022-09-10 03:28:06,48.9329,-125.5528,64.09,72,0,4.85
251,Upernavik,GL,2022-09-10 03:28:07,72.7868,-56.1549,42.35,91,100,2.46
252,Thunder Bay,CA,2022-09-10 03:23:32,48.4001,-89.3168,55.38,100,100,2.3
253,Evensk,RU,2022-09-10 03:28:08,61.95,159.2333,50.52,74,99,7.45
254,Campina Verde,BR,2022-09-10 03:28:08,-19.5356,-49.4864,79.74,25,57,5.12
255,Teahupoo,PF,2022-09-10 03:28:09,-17.8333,-149.2667,76.96,78,24,23.53
256,Clyde River,CA,2022-09-10 03:28:09,70.4692,-68.5914,37.63,100,100,4.61
257,Alofi,NU,2022-09-10 03:28:09,-19.0595,-169.9187,76.01,73,31,19.51
258,Vila,PT,2022-09-10 03:28:10,42.0304,-8.1588,54.48,91,7,2.26
259,Bonavista,CA,2022-09-10 03:28:10,48.6499,-53.1147,55.4,82,100,9.69
260,Nanortalik,GL,2022-09-10 03:28:11,60.1432,-45.2371,45.25,78,100,7.67
261,Kavaratti,IN,2022-09-10 03:28:11,10.5669,72.642,80.37,85,100,19.48
262,Hamilton,US,2022-09-10 03:25:56,39.1834,-84.5333,74.98,86,0,0.0
263,Dingle,PH,2022-09-10 03:28:12,10.9995,122.6711,84.61,76,100,8.95
264,Egvekinot,RU,2022-09-10 03:28:12,66.3167,-179.1667,41.92,65,1,3.27
265,Maua,BR,2022-09-10 03:28:13,-23.6678,-46.4614,77.36,44,44,4.92
266,The Valley,AI,2022-09-10 03:28:13,18.217,-63.0578,83.82,78,98,11.63
267,San Jeronimo,PE,2022-09-10 03:28:14,-11.9472,-75.2829,50.09,70,19,1.23
268,Severo-Kurilsk,RU,2022-09-10 03:28:14,50.6789,156.125,55.51,71,1,18.03
269,Blagoyevo,RU,2022-09-10 03:28:15,63.3667,47.9167,43.25,97,100,5.3
270,Olinda,BR,2022-09-10 03:28:15,-8.0089,-34.8553,73.13,83,75,5.75
271,Velsk,RU,2022-09-10 03:28:15,61.0701,42.0983,44.24,82,100,4.99
272,Kamenka,RU,2022-09-10 03:28:16,51.3223,42.7678,37.89,71,0,6.6
